who_region_code,who_region_name,map_url,population
EURO,Europe,https://user-images.githubusercontent.com/1275592/77833297-96f49380-70f9-11ea-8137-e8d6eb88a42f.png,915376702
AMRO,Americas,https://user-images.githubusercontent.com/1275592/77833300-9825c080-70f9-11ea-8df7-978d474ab3ac.png,987913287
WPRO,Western Pacific,https://user-images.githubusercontent.com/1275592/77833294-93f9a300-70f9-11ea-91d0-4fce691ca8af.png,1911971160
SEARO,South-East Asia,https://user-images.githubusercontent.com/1275592/77833296-95c36680-70f9-11ea-8d6b-de6088144daa.png,1926539277
EMRO,Eastern Mediterranean,https://user-images.githubusercontent.com/1275592/77833298-96f49380-70f9-11ea-86b8-520eead3221f.png,651529005
AFRO,Africa,https://user-images.githubusercontent.com/1275592/77833301-9825c080-70f9-11ea-98e0-675b00157e2c.png,994302232
