continent_code,continent_name,map_url
AF,Africa,https://user-images.githubusercontent.com/1275592/77833659-62360b80-70fc-11ea-87d6-4e6a49ada4ea.png
AS,Asia,https://user-images.githubusercontent.com/1275592/77833658-619d7500-70fc-11ea-9a0c-c91d782bb58a.png
EU,Europe,https://user-images.githubusercontent.com/1275592/77833657-619d7500-70fc-11ea-9e53-987119e3ab9d.png
NA,North America,https://user-images.githubusercontent.com/1275592/77833655-6104de80-70fc-11ea-991c-d4f919b0e80e.png
OC,Oceania,https://user-images.githubusercontent.com/1275592/77833653-5fd3b180-70fc-11ea-98a0-056462074a41.png
SA,South America,https://user-images.githubusercontent.com/1275592/77833651-5ea28480-70fc-11ea-8c9b-ea66e628240b.png
AN,Antartica,https://user-images.githubusercontent.com/1275592/81328588-04c5a080-9052-11ea-8fa4-47475b81f00d.png
